Symbol,BasicPrice,OpenPrice,HighPrice,LowPrice,ClosePrice,AveragePrice,Volume,AdjustPrice,Ceiling,Floor,AverageAdjustPrice,TotalValue,AgreedVolume,AgreedValue,ChangePrice
PRT,10.7,10.8,10.8,10.8,10.8,10.8,5500,10.8,12.3,9.1,10.8,59400000,0,0,0.10 (0.93 %)
,,,,,,,,,,,,,,,
DSC,23.1,23.4,23.5,22.7,23.3,23.3,102100,23.3,26.5,19.7,23.3,2356700000,0,0,0.20 (0.87 %)
,,,,,,,,,,,,,,,
ABC,12.2,12.4,12.4,12.3,12.3,12.3,619,12.3,14,10.4,12.3,7669000,500000,5250000000,0.10 (0.82 %)
,,,,,,,,,,,,,,,
FIC,12.4,12.4,12.5,12.3,12.5,12.5,1100,12.5,14.2,10.6,12.5,13560000,0,0,0.10 (0.81 %)
,,,,,,,,,,,,,,,
SID,12.6,11.9,12.7,11.4,12.7,12.7,2002,12.7,14.4,10.8,12.7,23958800,0,0,0.10 (0.79 %)
,,,,,,,,,,,,,,,
VTR,26,26.1,26.5,25.8,26.2,26.2,42001,26.2,29.9,22.1,26.2,1091056500,0,0,0.20 (0.77 %)
,,,,,,,,,,,,,,,
MSR,13.9,14,14.3,13.9,14,14,154600,14,15.9,11.9,14,2169460000,0,0,0.10 (0.72 %)
,,,,,,,,,,,,,,,
DDV,14.5,14.7,14.8,14.4,14.6,14.6,647083,14.6,16.6,12.4,14.6,9460320300,0,0,0.10 (0.69 %)
,,,,,,,,,,,,,,,
NTC,198.5,202,202,197.5,199.8,199.8,12200,199.8,228.2,168.8,199.8,2414390000,0,0,1.30 (0.65 %)
,,,,,,,,,,,,,,,
PGB,18,18.3,18.3,18,18.1,18.1,6482,18.1,20.7,15.3,18.1,117747200,0,0,0.10 (0.56 %)
,,,,,,,,,,,,,,,
SGP,18.2,18.3,18.4,18.1,18.3,18.3,19360,18.3,20.9,15.5,18.3,354492000,0,0,0.10 (0.55 %)
,,,,,,,,,,,,,,,
CMD,18.8,18.9,19,18.8,18.9,18.9,5600,18.9,21.6,16,18.9,105460000,0,0,0.10 (0.53 %)
,,,,,,,,,,,,,,,
HPW,19.3,19,19.4,19,19.4,19.4,1000,19.4,22.1,16.5,19.4,19240000,0,0,0.10 (0.52 %)
,,,,,,,,,,,,,,,
VNA,19.9,19.9,19.9,19.9,20,20,6,20,22.8,17,20,114000,0,0,0.10 (0.50 %)
,,,,,,,,,,,,,,,
SBH,60.1,60.4,60.4,60.4,60.4,60.4,351,60.4,69.1,51.1,60.4,18950700,0,0,0.30 (0.50 %)
,,,,,,,,,,,,,,,
TDS,21.4,21.4,21.5,21.4,21.5,21.5,6040,21.5,24.6,18.2,21.5,129704000,0,0,0.10 (0.47 %)
,,,,,,,,,,,,,,,
TAL,22.1,22.1,22.2,21.9,22.2,22.2,98030,22.2,25.4,18.8,22.2,2160603000,0,0,0.10 (0.45 %)
,,,,,,,,,,,,,,,
QNS,45.5,45.6,45.9,45.4,45.7,45.7,214144,45.7,52.3,38.7,45.7,9754334100,0,0,0.20 (0.44 %)
,,,,,,,,,,,,,,,
WSB,47,47,47.2,46.4,47.2,47.2,4000,47.2,54,40,47.2,187630000,0,0,0.20 (0.43 %)
,,,,,,,,,,,,,,,
GEE,28.5,28.5,28.6,28.5,28.6,28.6,1300,28.6,32.7,24.3,28.6,37080000,0,0,0.10 (0.35 %)
,,,,,,,,,,,,,,,
CBS,28.8,28.9,29,28.8,28.9,28.9,4804,28.9,33.1,24.5,28.9,138986000,0,0,0.10 (0.35 %)
,,,,,,,,,,,,,,,
HDM,29.2,29.2,29.2,29.2,29.3,29.3,13,29.3,33.5,24.9,29.3,367800,0,0,0.10 (0.34 %)
,,,,,,,,,,,,,,,
VCW,31.6,31.6,31.7,31.6,31.7,31.7,1000,31.7,36.3,26.9,31.7,31630000,0,0,0.10 (0.32 %)
,,,,,,,,,,,,,,,
NAB,16.6,16.55,16.65,16.4,16.65,0,1500700,16.65,17.75,15.45,0,24862000000,0,0,-16.60 (-100.00 %)
,,,,,,,,,,,,,,,
HMS,42.4,43.4,43.5,42.4,42.5,42.5,4737,42.5,48.7,36.1,42.5,201950800,0,0,0.10 (0.24 %)
,,,,,,,,,,,,,,,
MCH,139.6,139.8,143.5,138.9,139.9,139.9,51774,139.9,160.5,118.7,139.9,7224290800,0,0,0.30 (0.21 %)
,,,,,,,,,,,,,,,
NLS,5.6,5.6,5.6,5.6,5.6,5.6,0,5.6,7.8,3.4,5.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NJC,19.9,19.9,19.9,19.9,19.9,19.9,0,19.9,22.8,17,19.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NHP,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.6,0.4,0.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
QNT,4.9,4.9,4.9,4.9,4.9,4.9,0,4.9,5.6,4.2,4.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
QNC,7,7,7,7,7,7,0,7,8,6,7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NGC,2,2,2,2,2,2,0,2,2.3,1.7,2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
QNU,10,10,10,10,10,10,0,10,14,6,10,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NHV,1,1,1,1,1,1,0,1,1.1,0.9,1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PJS,22.7,22.7,22.7,22.7,22.7,22.7,0,22.7,26.1,19.3,22.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
QCC,9.4,9.4,9.4,9.4,9.4,9.4,15,9.4,10.8,8,9.4,162000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NOS,1,1,1,1,1,1,0,1,1.1,0.9,1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
QNW,7.5,7.5,7.5,7.5,7.5,7.5,0,7.5,8.6,6.4,7.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PXT,3.6,3.7,3.7,3.5,3.6,3.6,18200,3.6,4.1,3.1,3.6,64060000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NQB,13.2,13.2,13.2,13.2,13.2,13.2,0,13.2,18.4,8,13.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NQN,18,18,18,18,18,18,0,18,20.7,15.3,18,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NQT,9,9,9,9,9,9,0,9,12.6,5.4,9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NSG,13,13,13,13,13,13,0,13,18.2,7.8,13,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NSL,19.2,19.2,19.2,19.2,19.2,19.2,0,19.2,22,16.4,19.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NSS,2.5,2.5,2.5,2.5,2.5,2.5,0,2.5,3.5,1.5,2.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PXS,3.4,3.4,3.4,3.4,3.4,3.4,0,3.4,3.9,2.9,3.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PXM,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.6,0.4,0.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PXC,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.7,0.3,0.5,0,0,0,0.00 (0.00 %)
